date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:03:29	9734/9734	---M-Z	200	added ('OK')	text/css	etag:W/%225506f3ac-2606%22	https://technext.github.io/Fitness/css/pro-bars.css	C:/My%20Web%20Sites/fitness/technext.github.io/Fitness/css/pro-bars.css	(from https://technext.github.io/Fitness/)
21:03:30	85259/85259	---M--	200	added ('OK')	image/png	etag:%225506f3ac-14d0b%22	https://technext.github.io/Fitness/images/logo-icon.png	C:/My%20Web%20Sites/fitness/technext.github.io/Fitness/images/logo-icon.png	(from https://technext.github.io/Fitness/)
21:03:30	39597/39597	---M--	200	added ('OK')	image/jpeg	etag:%225506f3ac-9aad%22	https://technext.github.io/Fitness/images/clients/9.jpg	C:/My%20Web%20Sites/fitness/technext.github.io/Fitness/images/clients/9.jpg	(from https://technext.github.io/Fitness/)
21:03:31	47875/47875	---M--	200	added ('OK')	image/jpeg	etag:%225506f3ac-bb03%22	https://technext.github.io/Fitness/images/clients/2.jpg	C:/My%20Web%20Sites/fitness/technext.github.io/Fitness/images/clients/2.jpg	(from https://technext.github.io/Fitness/)
21:03:31	51096/51096	---M--	200	added ('OK')	image/jpeg	etag:%225506f3ac-c798%22	https://technext.github.io/Fitness/images/clients/4.jpg	C:/My%20Web%20Sites/fitness/technext.github.io/Fitness/images/clients/4.jpg	(from https://technext.github.io/Fitness/)
21:03:31	152060/152060	---M--	200	added ('OK')	image/jpeg	etag:%225506f3ac-251fc%22	https://technext.github.io/Fitness/images/clients/3.jpg	C:/My%20Web%20Sites/fitness/technext.github.io/Fitness/images/clients/3.jpg	(from https://technext.github.io/Fitness/)
21:03:31	60213/60213	---M--	200	added ('OK')	image/jpeg	etag:%225506f3ac-eb35%22	https://technext.github.io/Fitness/images/clients/5.jpg	C:/My%20Web%20Sites/fitness/technext.github.io/Fitness/images/clients/5.jpg	(from https://technext.github.io/Fitness/)
21:03:32	65744/65744	---M--	200	added ('OK')	image/jpeg	etag:%225506f3ac-100d0%22	https://technext.github.io/Fitness/images/clients/6.jpg	C:/My%20Web%20Sites/fitness/technext.github.io/Fitness/images/clients/6.jpg	(from https://technext.github.io/Fitness/)
21:03:32	105914/105914	---M--	200	added ('OK')	image/jpeg	etag:%225506f3ac-19dba%22	https://technext.github.io/Fitness/images/clients/7.jpg	C:/My%20Web%20Sites/fitness/technext.github.io/Fitness/images/clients/7.jpg	(from https://technext.github.io/Fitness/)
21:03:33	96381/96381	---M-Z	200	added ('OK')	application/javascript	etag:W/%225506f3ac-1787d%22	https://technext.github.io/Fitness/js/jquery-1.11.0.min.js	C:/My%20Web%20Sites/fitness/technext.github.io/Fitness/js/jquery-1.11.0.min.js	(from https://technext.github.io/Fitness/)
21:03:33	106864/106864	---M--	200	added ('OK')	image/jpeg	etag:%225506f3ac-1a170%22	https://technext.github.io/Fitness/images/clients/1.jpg	C:/My%20Web%20Sites/fitness/technext.github.io/Fitness/images/clients/1.jpg	(from https://technext.github.io/Fitness/)
21:03:33	29110/29110	---M-Z	200	added ('OK')	application/javascript	etag:W/%225506f3ac-71b6%22	https://technext.github.io/Fitness/js/bootstrap.min.js	C:/My%20Web%20Sites/fitness/technext.github.io/Fitness/js/bootstrap.min.js	(from https://technext.github.io/Fitness/)
21:03:34	1478/1478	---M-Z	200	added ('OK')	application/javascript	etag:W/%225506f3ac-5c6%22	https://technext.github.io/Fitness/js/jquery.appear.js	C:/My%20Web%20Sites/fitness/technext.github.io/Fitness/js/jquery.appear.js	(from https://technext.github.io/Fitness/)
21:03:34	140628/140628	---M--	200	added ('OK')	image/jpeg	etag:%225506f3ac-22554%22	https://technext.github.io/Fitness/images/clients/8.jpg	C:/My%20Web%20Sites/fitness/technext.github.io/Fitness/images/clients/8.jpg	(from https://technext.github.io/Fitness/)
21:03:34	35246/35246	---M-Z	200	added ('OK')	application/javascript	etag:W/%225506f3ac-89ae%22	https://technext.github.io/Fitness/js/jquery.prettyPhoto.js	C:/My%20Web%20Sites/fitness/technext.github.io/Fitness/js/jquery.prettyPhoto.js	(from https://technext.github.io/Fitness/)
21:03:34	51364/51364	---M-Z	200	added ('OK')	application/javascript	etag:W/%225506f3ac-c8a4%22	https://technext.github.io/Fitness/js/modernizr-latest.js	C:/My%20Web%20Sites/fitness/technext.github.io/Fitness/js/modernizr-latest.js	(from https://technext.github.io/Fitness/)
21:03:35	7391/7391	---M-Z	200	added ('OK')	application/javascript	etag:W/%225506f3ac-1cdf%22	https://technext.github.io/Fitness/js/SmoothScroll.js	C:/My%20Web%20Sites/fitness/technext.github.io/Fitness/js/SmoothScroll.js	(from https://technext.github.io/Fitness/)
21:03:35	1842/1842	---M-Z	200	added ('OK')	application/javascript	etag:W/%225506f3ac-732%22	https://technext.github.io/Fitness/js/jquery.parallax-1.1.3.js	C:/My%20Web%20Sites/fitness/technext.github.io/Fitness/js/jquery.parallax-1.1.3.js	(from https://technext.github.io/Fitness/)
21:03:35	8097/8097	---M-Z	200	added ('OK')	application/javascript	etag:W/%225506f3ac-1fa1%22	https://technext.github.io/Fitness/js/jquery.easing.1.3.js	C:/My%20Web%20Sites/fitness/technext.github.io/Fitness/js/jquery.easing.1.3.js	(from https://technext.github.io/Fitness/)
21:03:36	14519/14519	---M-Z	200	added ('OK')	application/javascript	etag:W/%225506f3ac-38b7%22	https://technext.github.io/Fitness/js/jquery.superslides.js	C:/My%20Web%20Sites/fitness/technext.github.io/Fitness/js/jquery.superslides.js	(from https://technext.github.io/Fitness/)
21:03:36	51891/51891	---M-Z	200	added ('OK')	application/javascript	etag:W/%225506f3ac-cab3%22	https://technext.github.io/Fitness/js/jquery.flexslider.js	C:/My%20Web%20Sites/fitness/technext.github.io/Fitness/js/jquery.flexslider.js	(from https://technext.github.io/Fitness/)
21:03:36	38358/38358	---M-Z	200	added ('OK')	application/javascript	etag:W/%225506f3ac-95d6%22	https://technext.github.io/Fitness/js/jquery.mb.YTPlayer.js	C:/My%20Web%20Sites/fitness/technext.github.io/Fitness/js/jquery.mb.YTPlayer.js	(from https://technext.github.io/Fitness/)
21:03:37	2781/2781	---M-Z	200	added ('OK')	application/javascript	etag:W/%225506f3ac-add%22	https://technext.github.io/Fitness/js/jquery.fitvids.js	C:/My%20Web%20Sites/fitness/technext.github.io/Fitness/js/jquery.fitvids.js	(from https://technext.github.io/Fitness/)
21:03:37	11735/11735	---M-Z	200	added ('OK')	application/javascript	etag:W/%225506f3ac-2dd7%22	https://technext.github.io/Fitness/js/jquery.slabtext.js	C:/My%20Web%20Sites/fitness/technext.github.io/Fitness/js/jquery.slabtext.js	(from https://technext.github.io/Fitness/)
21:03:38	15389/15389	---M-Z	200	added ('OK')	application/javascript	etag:W/%225506f3ac-3c1d%22	https://technext.github.io/Fitness/js/plugins.js	C:/My%20Web%20Sites/fitness/technext.github.io/Fitness/js/plugins.js	(from https://technext.github.io/Fitness/)
21:03:38	2445/2445	---M-Z	200	added ('OK')	text/html	etag:W/%225506f3ac-98d%22	https://technext.github.io/Fitness/fonts/glyphicons-halflings-regular.html	C:/My%20Web%20Sites/fitness/technext.github.io/Fitness/fonts/glyphicons-halflings-regular.html	(from https://technext.github.io/Fitness/css/bootstrap.min.css)
21:03:38	2445/2445	---M-Z	200	added ('OK')	text/html	etag:W/%225506f3ac-98d%22	https://technext.github.io/Fitness/fonts/glyphicons-halflings-regulard41d.html?	C:/My%20Web%20Sites/fitness/technext.github.io/Fitness/fonts/glyphicons-halflings-regulard41dd41d.html	(from https://technext.github.io/Fitness/css/bootstrap.min.css)
21:03:39	2445/2445	---M-Z	200	added ('OK')	text/html	etag:W/%225506f3ac-98d%22	https://technext.github.io/Fitness/fonts/glyphicons-halflings-regular-2.html	C:/My%20Web%20Sites/fitness/technext.github.io/Fitness/fonts/glyphicons-halflings-regular-2.html	(from https://technext.github.io/Fitness/css/bootstrap.min.css)
21:03:39	2445/2445	---M-Z	200	added ('OK')	text/html	etag:W/%225506f3ac-98d%22	https://technext.github.io/Fitness/fonts/glyphicons-halflings-regular-3.html	C:/My%20Web%20Sites/fitness/technext.github.io/Fitness/fonts/glyphicons-halflings-regular-3.html	(from https://technext.github.io/Fitness/css/bootstrap.min.css)
21:03:39	2445/2445	---M-Z	200	added ('OK')	text/html	etag:W/%225506f3ac-98d%22	https://technext.github.io/Fitness/fonts/glyphicons-halflings-regular-4.html	C:/My%20Web%20Sites/fitness/technext.github.io/Fitness/fonts/glyphicons-halflings-regular-4.html	(from https://technext.github.io/Fitness/css/bootstrap.min.css)
21:03:39	936/936	---M--	200	added ('OK')	image/png	etag:%225506f3ac-3a8%22	https://technext.github.io/Fitness/images/pattern-white.png	C:/My%20Web%20Sites/fitness/technext.github.io/Fitness/images/pattern-white.png	(from https://technext.github.io/Fitness/css/style.css)
21:03:40	102508/102508	---M--	200	added ('OK')	image/jpeg	etag:%225506f3ac-1906c%22	https://technext.github.io/Fitness/images/1.jpg	C:/My%20Web%20Sites/fitness/technext.github.io/Fitness/images/1.jpg	(from https://technext.github.io/Fitness/css/style.css)
21:03:41	60439/60439	---M--	200	added ('OK')	image/jpeg	etag:%225506f3ac-ec17%22	https://technext.github.io/Fitness/images/3.jpg	C:/My%20Web%20Sites/fitness/technext.github.io/Fitness/images/3.jpg	(from https://technext.github.io/Fitness/css/style.css)
21:03:41	3541/3541	---M--	200	added ('OK')	image/png	etag:%225506f3ac-dd5%22	https://technext.github.io/Fitness/images/slider-arrows.png	C:/My%20Web%20Sites/fitness/technext.github.io/Fitness/images/slider-arrows.png	(from https://technext.github.io/Fitness/css/style.css)
21:03:41	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2262ed60a9-247b%22	https://technext.github.io/Fitness/images/parallax/1.jpg	C:/My%20Web%20Sites/fitness/technext.github.io/Fitness/images/parallax/1.jpg	(from https://technext.github.io/Fitness/css/style.css)
21:03:42	1514635/1514635	---M--	200	added ('OK')	image/jpeg	etag:%225506f3ac-171c8b%22	https://technext.github.io/Fitness/images/5.jpg	C:/My%20Web%20Sites/fitness/technext.github.io/Fitness/images/5.jpg	(from https://technext.github.io/Fitness/css/style.css)
21:03:42	192437/192437	---M--	200	added ('OK')	image/jpeg	etag:%225506f3ac-2efb5%22	https://technext.github.io/Fitness/images/parallax/3.jpg	C:/My%20Web%20Sites/fitness/technext.github.io/Fitness/images/parallax/3.jpg	(from https://technext.github.io/Fitness/css/style.css)
21:03:42	203853/203853	---M--	200	added ('OK')	image/jpeg	etag:%225506f3ac-31c4d%22	https://technext.github.io/Fitness/images/parallax/2.jpg	C:/My%20Web%20Sites/fitness/technext.github.io/Fitness/images/parallax/2.jpg	(from https://technext.github.io/Fitness/css/style.css)
21:03:42	630/630	---M--	200	added ('OK')	image/png	etag:%225506f3ac-276%22	https://technext.github.io/Fitness/images/testimonial-controls.png	C:/My%20Web%20Sites/fitness/technext.github.io/Fitness/images/testimonial-controls.png	(from https://technext.github.io/Fitness/css/style.css)
21:03:42	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2262ed60a9-247b%22	https://technext.github.io/Fitness/images/mac.png	C:/My%20Web%20Sites/fitness/technext.github.io/Fitness/images/mac.png	(from https://technext.github.io/Fitness/css/style.css)
21:03:42	1736277/1736277	---M--	200	added ('OK')	image/jpeg	etag:%225506f3ac-1a7e55%22	https://technext.github.io/Fitness/images/4.jpg	C:/My%20Web%20Sites/fitness/technext.github.io/Fitness/images/4.jpg	(from https://technext.github.io/Fitness/css/style.css)
21:03:43	74147/74147	---M--	200	added ('OK')	image/jpeg	etag:%225506f3ac-121a3%22	https://technext.github.io/Fitness/images/parallax/4.jpg	C:/My%20Web%20Sites/fitness/technext.github.io/Fitness/images/parallax/4.jpg	(from https://technext.github.io/Fitness/css/style.css)
21:03:43	380992/380992	---M--	200	added ('OK')	image/jpeg	etag:%225506f3ac-5d040%22	https://technext.github.io/Fitness/images/bgd/background5.jpg	C:/My%20Web%20Sites/fitness/technext.github.io/Fitness/images/bgd/background5.jpg	(from https://technext.github.io/Fitness/css/style.css)
21:03:43	72449/72449	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225506f3ac-11b01%22	https://technext.github.io/Fitness/fonts/fontawesome-webfont862f.eot?v=4.1.0	C:/My%20Web%20Sites/fitness/technext.github.io/Fitness/fonts/fontawesome-webfont862f862f.eot	(from https://technext.github.io/Fitness/css/font-awesome.css)
21:03:44	72449/72449	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225506f3ac-11b01%22	https://technext.github.io/Fitness/fonts/fontawesome-webfontd41d.eot?	C:/My%20Web%20Sites/fitness/technext.github.io/Fitness/fonts/fontawesome-webfontd41dd41d.eot	(from https://technext.github.io/Fitness/css/font-awesome.css)
21:03:44	83760/83760	---M--	200	added ('OK')	font/woff	etag:%225506f3ac-14730%22	https://technext.github.io/Fitness/fonts/fontawesome-webfont862f.woff?v=4.1.0	C:/My%20Web%20Sites/fitness/technext.github.io/Fitness/fonts/fontawesome-webfont862f862f.woff	(from https://technext.github.io/Fitness/css/font-awesome.css)
21:03:45	141564/141564	---M-Z	200	added ('OK')	font/ttf	etag:W/%225506f3ac-228fc%22	https://technext.github.io/Fitness/fonts/fontawesome-webfont862f.ttf?v=4.1.0	C:/My%20Web%20Sites/fitness/technext.github.io/Fitness/fonts/fontawesome-webfont862f862f.ttf	(from https://technext.github.io/Fitness/css/font-awesome.css)
21:03:45	253487/253487	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225506f3ac-3de2f%22	https://technext.github.io/Fitness/fonts/fontawesome-webfont862f.svg?v=4.1.0	C:/My%20Web%20Sites/fitness/technext.github.io/Fitness/fonts/fontawesome-webfont862f862f.svg	(from https://technext.github.io/Fitness/css/font-awesome.css)
21:03:45	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2262ed60a9-247b%22	https://technext.github.io/Fitness/css/grabbing.html	C:/My%20Web%20Sites/fitness/technext.github.io/Fitness/css/grabbing.html	(from https://technext.github.io/Fitness/css/owl.carousel.css)
21:03:45	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2262ed60a9-247b%22	https://technext.github.io/Fitness/images/parallax/5.jpg	C:/My%20Web%20Sites/fitness/technext.github.io/Fitness/images/parallax/5.jpg	(from https://technext.github.io/Fitness/css/responsive.css)
21:03:46	3250/3250	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225506f3ac-cb2%22	https://technext.github.io/Fitness/css/player/ytp-regular.eot	C:/My%20Web%20Sites/fitness/technext.github.io/Fitness/css/player/ytp-regular.eot	(from https://technext.github.io/Fitness/css/player/YTPlayer.css)
21:03:46	5152/5152	---M-Z	200	added ('OK')	font/ttf	etag:W/%225506f3ac-1420%22	https://technext.github.io/Fitness/css/player/ytp-regular.ttf	C:/My%20Web%20Sites/fitness/technext.github.io/Fitness/css/player/ytp-regular.ttf	(from https://technext.github.io/Fitness/css/player/YTPlayer.css)
21:03:47	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2262ed60a9-247b%22	https://technext.github.io/Fitness/css/images/raster.html	C:/My%20Web%20Sites/fitness/technext.github.io/Fitness/css/images/raster.html	(from https://technext.github.io/Fitness/css/player/YTPlayer.css)
21:03:47	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2262ed60a9-247b%22	https://technext.github.io/Fitness/css/images/raster%402x.html	C:/My%20Web%20Sites/fitness/technext.github.io/Fitness/css/images/raster@2x.html	(from https://technext.github.io/Fitness/css/player/YTPlayer.css)
